,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
2319,12,4,127,DEF,0.683,43,43,51,E,43,hard,high,2,2
2320,12,4,128,ACE,0.604,20,35,52,E,52,easy,low,3,1
2321,12,4,129,DEF,0.903,45,49,55,F,55,hard,high,3,3
2322,12,4,130,BDF,1.144,43,38,51,F,51,easy,high,3,3
2323,12,4,131,ABC,0.868,27,35,37,B,35,hard,low,2,2
2324,12,4,132,ACE,0.702,37,43,50,E,50,easy,low,3,2
2325,12,4,133,BDF,0.92,34,44,53,D,44,easy,high,2,3
2326,12,4,134,ABC,0.905,33,31,39,A,33,hard,low,1,2
2327,12,4,135,ACE,0.925,33,46,43,E,43,easy,low,3,3
2328,12,4,136,DEF,1.025,41,45,47,F,47,hard,high,3,4
2329,12,4,137,BDF,0.517,35,49,47,F,47,easy,high,3,1
2330,12,4,138,DEF,0.534,44,46,58,E,46,hard,high,2,2
2331,12,4,139,ABC,0.583,29,30,37,A,29,hard,low,1,2
2332,12,4,140,ACE,0.698,27,39,41,E,41,easy,low,3,2
2333,12,4,141,DEF,2.075,46,47,50,F,50,hard,high,3,5
2334,12,4,142,ABC,1.352,40,34,40,A,40,hard,low,1,4
2335,12,4,143,BDF,1.473,38,32,41,F,41,easy,high,3,5
2336,12,4,144,DEF,1.492,40,40,51,F,51,hard,high,3,5
2337,12,4,145,ABC,0.835,37,27,36,C,36,hard,low,3,2
2338,12,4,146,BDF,0.749,30,37,56,F,56,easy,high,3,2
2339,12,4,147,DEF,1.056,40,48,46,F,46,hard,high,3,4
2340,12,4,148,ACE,2.19,35,33,40,E,40,easy,low,3,6
2341,12,4,149,ABC,0.977,28,44,38,A,28,hard,low,1,3
2342,12,4,150,DEF,0.852,45,39,44,E,39,hard,high,2,3
2343,12,4,151,BDF,2.003,40,43,46,F,46,easy,high,3,5
2344,12,4,152,ABC,0.818,36,26,40,C,40,hard,low,3,2
2345,12,4,153,DEF,3.103,48,45,47,F,47,hard,high,3,6
2346,12,4,154,ACE,1.76,34,35,45,E,45,easy,low,3,5
2347,12,4,155,BDF,1.541,33,42,54,F,54,easy,high,3,5
2348,12,4,156,ABC,1.181,35,32,29,A,35,hard,low,1,3
2349,12,4,157,DEF,0.84,44,44,53,E,44,hard,high,2,3
2350,12,4,158,BDF,0.856,37,41,52,F,52,easy,high,3,2
2351,12,4,159,ACE,1.945,30,33,39,E,39,easy,low,3,6
2352,12,4,160,ABC,1.557,21,39,34,C,34,hard,low,3,5
2353,12,4,161,DEF,0.888,38,51,53,F,53,hard,high,3,3
2354,12,4,162,BDF,2.173,31,43,43,F,43,easy,high,3,5
2355,12,4,163,DEF,2.56,42,50,52,F,52,hard,high,3,6
2356,12,4,164,ACE,0.927,32,31,44,E,44,easy,low,3,3
2357,12,4,165,DEF,0.719,34,44,55,F,55,hard,high,3,2
2358,12,4,166,ABC,1.748,25,35,39,B,35,hard,low,2,5
2359,12,4,167,ACE,0.694,27,41,45,E,45,easy,low,3,2
2360,12,4,168,BDF,0.925,29,40,43,F,43,easy,high,3,3
2361,12,4,169,DEF,0.529,45,58,49,F,49,hard,high,3,1
2362,12,4,170,ABC,1.213,29,36,30,B,36,hard,low,2,3
2363,12,4,171,BDF,0.646,29,36,49,F,49,easy,high,3,2
2364,12,4,172,ACE,0.972,34,43,51,E,51,easy,low,3,3
2365,12,4,173,BDF,2.151,36,49,48,B,36,easy,high,1,5
