id,trial,block,rt,resp,correct,f_cor,f_inc,cor_option,inc_option,pair_type
2,51,1,1.2370169134683238,1,0,56,40,3,1,2
2,52,1,1.2216397916909043,2,1,47,32,2,0,1
2,53,1,1.0214501462105543,1,0,51,37,3,1,2
2,54,1,1.0300657717552897,3,1,58,44,3,1,2
2,55,1,0.978355293092136,3,1,44,50,3,2,3
2,56,1,0.8781377605791931,1,0,48,39,3,1,2
2,57,1,0.9152155681322256,3,1,57,48,3,2,3
2,58,1,1.0000283307681457,1,1,45,43,1,0,0
2,59,1,1.0348407008696086,3,1,53,52,3,2,3
2,60,1,1.1570739709532063,2,1,55,34,2,0,1
2,61,1,1.0394555440752808,3,1,54,38,3,1,2
2,62,1,1.1247611938106274,3,1,47,35,3,1,2
2,63,1,0.9727195182267678,3,1,57,47,3,2,3
2,64,1,0.9106072102831604,3,1,48,42,3,1,2
2,65,1,1.0151832437495614,2,1,50,44,2,0,1
2,66,1,1.1967496758179552,3,1,64,54,3,2,3
2,67,1,1.3718519140502394,3,1,46,39,3,1,2
2,68,1,1.0314768488124173,3,1,56,41,3,1,2
2,69,1,1.3914346189021671,2,1,58,37,2,0,1
2,70,1,0.945141392719961,3,1,62,47,3,1,2
2,71,1,0.9962279118135484,3,1,53,38,3,1,2
2,72,1,1.0337661796847897,3,1,49,34,3,1,2
2,73,1,0.9267298067334196,3,1,59,44,3,2,3
2,74,1,1.2008811892910671,3,1,51,49,3,2,3
2,75,1,1.9246364018963504,1,1,42,33,1,0,0
2,76,1,1.3203271213851622,3,1,60,53,3,2,3
2,77,1,1.1405356290133568,2,1,52,42,2,0,1
2,78,1,1.5311145221812694,2,1,50,31,2,0,1
2,79,1,1.1800085811510144,1,1,36,38,1,0,0
2,80,1,1.3395169501627606,1,1,43,33,1,0,0
2,1,2,1.2721593540854883,2,0,49,50,3,2,3
2,2,2,1.2525247663825212,2,1,54,33,2,0,1
2,3,2,1.3221423385584783,1,0,61,40,3,1,2
2,4,2,0.9096309934511736,3,1,48,43,3,1,2
2,5,2,1.4537210074695397,1,1,42,39,1,0,0
2,6,2,1.3057261943895355,2,0,56,53,3,2,3
2,7,2,1.2641728081280237,3,1,55,35,3,1,2
2,8,2,1.3406163887693765,3,1,44,38,3,1,2
2,9,2,1.5993862121995337,1,1,50,37,1,0,0
2,10,2,1.345126100932248,1,1,38,34,1,0,0
2,11,2,1.7589055039170491,3,1,53,43,3,2,3
2,12,2,1.1298989615579558,3,1,57,51,3,2,3
2,13,2,1.2632518874943344,3,1,60,45,3,1,2
2,14,2,1.4197455897010514,2,1,45,35,2,0,1
2,15,2,2.130535550505556,0,0,46,37,1,0,0
2,16,2,1.93258335304472,2,1,50,38,2,0,1
2,17,2,1.3200301603210391,2,1,44,28,2,0,1
2,18,2,1.787806983500559,3,1,51,32,3,1,2
2,19,2,0.9449645814192992,3,1,52,39,3,1,2
2,20,2,1.7691479299592174,1,1,43,35,1,0,0
2,21,2,1.3365425608353692,2,1,55,41,2,0,1
2,22,2,1.12605041443112,2,0,55,40,3,2,3
2,23,2,0.9389352478110596,3,1,56,57,3,2,3
2,24,2,1.3978312284934873,3,1,51,48,3,2,3
2,25,2,1.314913555316707,2,1,51,42,2,0,1
2,26,2,1.0055763826521795,2,1,49,32,2,0,1
2,27,2,0.9305063322681236,3,1,52,48,3,1,2
2,28,2,1.1438278008126872,3,1,54,38,3,1,2
2,29,2,1.3924162970870384,2,1,54,30,2,0,1
2,30,2,1.0258465353008432,2,1,42,38,2,0,1
2,31,2,1.5340462446883976,3,1,58,55,3,2,3
2,32,2,0.834032215838306,3,1,49,44,3,1,2
2,33,2,2.004594021797857,1,1,37,32,1,0,0
2,34,2,1.0525627910519688,3,1,60,41,3,1,2
